C++ LEXICAL ANALYZER OUTPUT
========================================

LEXEME		TOKEN
----------------------------------------
int		KEYWORD
main		IDENTIFIER
(		LPAREN
)		RPAREN
{		LBRACE
int		KEYWORD
a		IDENTIFIER
=		ASSIGN
5		INTEGER
;		SEMICOLON
cout		IDENTIFIER
<<		OUTPUT
a		IDENTIFIER
;		SEMICOLON
cin		IDENTIFIER
>>		INPUT
a		IDENTIFIER
;		SEMICOLON
cout		IDENTIFIER
<<		OUTPUT
5		INTEGER
==		EQUAL
5		INTEGER
;		SEMICOLON
cout		IDENTIFIER
<<		OUTPUT
5		INTEGER
<=		LESS_EQUAL
4		INTEGER
;		SEMICOLON
cout		IDENTIFIER
<<		OUTPUT
5		INTEGER
>=		GREATER_EQUAL
6		INTEGER
;		SEMICOLON
cout		IDENTIFIER
<<		OUTPUT
5		INTEGER
>		GREATER
6		INTEGER
;		SEMICOLON
if		KEYWORD
(		LPAREN
a		IDENTIFIER
)		RPAREN
{		LBRACE
cout		IDENTIFIER
<<		OUTPUT
"		ERROR
Yes		IDENTIFIER
"		ERROR
;		SEMICOLON
}		RBRACE
else		KEYWORD
{		LBRACE
cout		IDENTIFIER
<<		OUTPUT
"		ERROR
No		IDENTIFIER
"		ERROR
;		SEMICOLON
}		RBRACE
}		RBRACE
